,0,1,2,3,4,5,6,7
52,1.0,-0.16254026,0.26454148,1.0,15.0,40.0,2.0,14.0
53,1.0,-0.947991,0.70308155,1.0,-15.0,0.0,2.0,17.0
54,1.0,-1.6541241,1.3543694,1.0,15.0,-20.0,2.0,17.0
55,1.0,0.15219128,0.018199224,0.0,0.0,-20.0,2.0,12.0
56,1.0,-0.24234208,0.16337405,1.0,-15.0,0.0,2.0,15.0
57,1.0,-1.4150077,1.1766421,1.0,30.0,-20.0,2.0,17.0
58,1.0,-0.4703308,0.5385694,1.0,0.0,0.0,2.0,12.0
59,1.0,-0.9133525,0.8189891,1.0,30.0,20.0,2.0,16.0
60,1.0,-0.33309436,0.45339456,1.0,30.0,-40.0,2.0,12.0
61,1.0,-0.91873735,0.9123455,1.0,0.0,-40.0,2.0,11.0
62,1.0,-0.8782065,0.645204,1.0,-15.0,-40.0,2.0,17.0
63,1.0,-1.3409067,1.1338496,1.0,30.0,20.0,2.0,15.0
64,1.0,-0.69243765,0.7200888,1.0,30.0,40.0,2.0,11.0
65,1.0,-1.5920001,1.48912,1.0,-15.0,-20.0,2.0,11.0
66,1.0,-0.88495064,0.7038016,1.0,15.0,20.0,2.0,15.0
67,1.0,-0.7610742,0.7033407,1.0,30.0,20.0,2.0,11.0
68,1.0,0.43151522,-0.32076403,0.0,-15.0,0.0,2.0,13.0
69,1.0,-0.254269,0.23454142,1.0,0.0,-40.0,2.0,13.0
70,1.0,0.044555448,-0.038713347,0.0,-30.0,40.0,2.0,13.0
71,1.0,0.08852381,-0.10514903,0.0,-15.0,0.0,2.0,16.0
72,1.0,0.9834082,-0.8413664,0.0,-15.0,20.0,2.0,13.0
73,1.0,-0.8729737,0.6830179,1.0,-30.0,40.0,2.0,17.0
74,1.0,-0.99117976,0.8386447,1.0,30.0,-20.0,2.0,16.0
75,1.0,-0.8448361,0.75574875,1.0,30.0,40.0,2.0,14.0
76,1.0,-0.015872464,0.03599677,1.0,0.0,20.0,2.0,16.0
77,1.0,-0.94016325,0.88736266,1.0,-15.0,40.0,2.0,11.0
78,1.0,-0.22439454,0.34561765,1.0,30.0,40.0,2.0,12.0
79,1.0,-0.97260386,0.7333047,1.0,15.0,0.0,2.0,15.0
80,1.0,-0.4164719,0.50628966,1.0,0.0,20.0,2.0,11.0
81,1.0,-0.27689952,0.26494384,1.0,-30.0,20.0,2.0,16.0
82,1.0,-0.17703485,0.22277117,1.0,15.0,40.0,2.0,15.0
83,1.0,-1.6771888,1.1451849,1.0,-30.0,0.0,2.0,17.0
84,1.0,-0.6138853,0.61594987,1.0,15.0,-40.0,2.0,14.0
85,1.0,-0.07399706,0.071862176,1.0,-15.0,-20.0,2.0,13.0
86,1.0,-0.4081034,0.3705939,1.0,-30.0,40.0,2.0,16.0
87,1.0,-1.793909,1.2373635,1.0,-30.0,0.0,2.0,15.0
88,1.0,-0.23649281,0.2974631,1.0,30.0,-40.0,2.0,13.0
89,1.0,-1.7922261,1.529076,1.0,-30.0,0.0,2.0,11.0
